TimeSeries ID,database/cpu/utilization.cloudsql_database.ALIGN_MAX.metric.type="cloudsql.googleapis.com/database/cpu/utilization" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".120s.database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.region:us-central
region,us-central
project_id,data-rainfall-476920-v0
database_id,data-rainfall-476920-v0:quizapp-postgres-prod
Tue Dec 02 2025 15:32:00 GMT+0530 (India Standard Time),0.0459405559680287
Tue Dec 02 2025 15:34:00 GMT+0530 (India Standard Time),0.04455029295637492
Tue Dec 02 2025 15:36:00 GMT+0530 (India Standard Time),0.06542391030977607
Tue Dec 02 2025 15:38:00 GMT+0530 (India Standard Time),0.07016596804328022
Tue Dec 02 2025 15:40:00 GMT+0530 (India Standard Time),0.04234376958877514
Tue Dec 02 2025 15:42:00 GMT+0530 (India Standard Time),0.03924289914395634
Tue Dec 02 2025 15:44:00 GMT+0530 (India Standard Time),0.042618831541041874
Tue Dec 02 2025 15:46:00 GMT+0530 (India Standard Time),0.04378071267451749
Tue Dec 02 2025 15:48:00 GMT+0530 (India Standard Time),0.03983675758982201
Tue Dec 02 2025 15:50:00 GMT+0530 (India Standard Time),0.043389903262145896
Tue Dec 02 2025 15:52:00 GMT+0530 (India Standard Time),0.0380011860233329
Tue Dec 02 2025 15:54:00 GMT+0530 (India Standard Time),0.04146293100935926
Tue Dec 02 2025 15:56:00 GMT+0530 (India Standard Time),0.042159587868319665
Tue Dec 02 2025 15:58:00 GMT+0530 (India Standard Time),0.03933060251966178
Tue Dec 02 2025 16:00:00 GMT+0530 (India Standard Time),0.04322306924018259
Tue Dec 02 2025 16:02:00 GMT+0530 (India Standard Time),0.039622599974145106
Tue Dec 02 2025 16:04:00 GMT+0530 (India Standard Time),0.041769217174711076
Tue Dec 02 2025 16:06:00 GMT+0530 (India Standard Time),0.04097062470947226
Tue Dec 02 2025 16:08:00 GMT+0530 (India Standard Time),0.03898577515592194
Tue Dec 02 2025 16:10:00 GMT+0530 (India Standard Time),0.041867700605929294
Tue Dec 02 2025 16:12:00 GMT+0530 (India Standard Time),0.03879454071844748
Tue Dec 02 2025 16:14:00 GMT+0530 (India Standard Time),0.041978643353126205
Tue Dec 02 2025 16:16:00 GMT+0530 (India Standard Time),0.041509774065103026
Tue Dec 02 2025 16:18:00 GMT+0530 (India Standard Time),0.040224955463442784
Tue Dec 02 2025 16:20:00 GMT+0530 (India Standard Time),0.04181695659023319
Tue Dec 02 2025 16:22:00 GMT+0530 (India Standard Time),0.038505334788277425
Tue Dec 02 2025 16:24:00 GMT+0530 (India Standard Time),0.042517842539094394
